,menuKind,menuName
307,김밥,삼각김밥누룽지전
308,김밥,옥수수김밥
309,김밥,김치당면 김밥볶음밥
310,김밥,생와사비 참치마요김밥
311,김밥,오징어어묵무침 충무김밥
312,김밥,달걀지단김밥
313,김밥,새우튀김김밥
314,김밥,숯불김밥
315,떡,로제리소떡
316,떡,떡볶이 덮밥
317,떡,채식떡국
318,떡,오징어젓 떡볶음
319,떡,김장떡
320,떡,우거지장떡
321,떡,마라 기름떡볶이
322,떡,떡닭불고기
323,떡,콩고기 토마토떡볶이
324,떡,간장꿀떡볶이
325,떡,감자떡볶이
326,떡,베이컨떡볶음
327,떡,냉이떡갈비
328,떡,우엉떡갈비
329,떡,떡스테이크
330,떡,매운 톳떡찜
331,떡,떡산적
332,떡,광장시장 빈대떡
333,누룽지,삼각김밥누룽지전
334,누룽지,토마토누룽지수프
335,누룽지,얼큰누룽지탕
336,묵사발,골뱅이냉묵사발
337,롤,포두부 롤밥
338,롤,캘리포니아롤
339,롤,크림소스 캐비지롤
340,롤,김치볶음밥 돈가스롤
341,국,물만두 콩나물국밥
342,국,영양 굴국밥
343,국,부추굴국밥
344,국,오징어콩나물국밥
345,국,매생이국밥
346,국,얼갈이배추국밥
347,국,돼지고기짬뽕국
348,국,5분 어묵국
349,국,바지락무채국
350,국,바지락 얼갈이배춧국
351,국,홍합뭇국
352,국,대하 연두붓국
353,국,채식떡국
354,국,소고기 뭇국
355,국,참외냉국
356,국,오이토마토냉국
357,국,콩나물냉국
358,국,된장 가지냉국
359,국,모시조갯국
360,국,노각 냉국
361,국,복숭아 냉국
362,국,오이 미역냉국
363,국,호박잎국
364,국,봄동쇠고기국
365,국,콩나물무침 & 콩나물술국
366,국,맑은 냉잇국
367,국,두유 된장국
368,국,황태국
369,국,오징어젓콩나물국밥
370,국,온묵국
371,국,제주 콩국
372,국,우렁 시래깃국
373,국,닭가슴살완자국
374,국,소고기 배춧국
375,국,동치미 된장국
376,국,매생이 두붓국
377,국,굴짬뽕만둣국
378,국,바지락 미역국
379,국,버섯된장 달걀국
380,국,새송이달걀국
381,국,배추된장국
382,국,순두부콩나물국
383,국,두부뭇국
384,국,쇠고기 미역국
385,국,맑은 쇠고기뭇국
386,국,매콤한 쇠고기뭇국
387,국,콩나물아욱국
388,국,풋호박청국장
389,국,오만둥이무국
390,국,버섯시금치국
391,국,매운어묵배춧국
392,국,호박잎된장국
393,국,올갱이국
394,국,오이미역냉국
395,국,새우젓콩나물국
396,국,취나물된장국
397,국,황태장국
398,국,콩가루냉이장국
399,국,장조림탕국
400,국,쇠고기우거지된장국
401,국,들깨뭇국
402,국,냉이된장국
403,국,물만두된장국
404,국,순두부김국
405,국,가지냉국
406,국,쇠고기미역국
407,국,꽃게된장국
408,국,경상도식 탕국
409,국,다슬기부추된장국
410,국,감잣국
411,국,홍합미역국
412,국,바지락쑥완자국
413,국,미역된장국
414,국,매콤쇠고기뭇국
415,국,황태아욱국
416,국,봄동된장국
417,국,황태애호박국
418,국,모둠버섯맑은국
419,국,새우순두붓국
420,국,두부호박 새우젓국
421,국,개성만둣국
422,국,생태국
423,국,깻잎버섯된장국
424,국,열무 청국장
425,국,차돌박이청국장
426,국,오이 미역냉국
427,국,중국식 생선찜
428,탕,꽁치추어탕
429,탕,고구마 닭볶음탕
430,탕,전복삼계탕
431,탕,백합 맑은탕
432,탕,고추냉이 초계탕
433,탕,문어 매운탕
434,탕,주꾸미연포탕
435,탕,얼큰 어묵탕
436,탕,건새우순두부탕
437,탕,민물새우탕
438,탕,얼큰 낙지탕
439,탕,마늘 조개탕
440,탕,갈비탕
441,탕,뼈 없는 시래기감자탕
442,탕,맑은 생태탕
443,탕,들깨토란탕
444,탕,맑은 꽃게탕
445,탕,얼큰 꼬막탕
446,탕,닭곰탕
447,탕,얼큰홍합탕
448,탕,새우콩나물탕
449,탕,낙지불고기매운탕
450,탕,모시조개탕
451,탕,부추닭고기 물만두탕
452,탕,새우두부완자탕
453,탕,삼계탕
454,탕,버섯닭볶음탕
455,탕,고추장번데기탕
456,탕,감자탕
457,탕,조개달걀탕
458,탕,미더덕어묵탕
459,탕,장조림탕국
460,탕,주꾸미매운탕
461,탕,버섯매운탕
462,탕,쇠고기부추들깨탕
463,탕,맑은 버섯두부탕
464,탕,꽃게어묵탕
465,탕,경상도식 탕국
466,탕,닭고기참깨탕
467,탕,얼큰 절편어묵탕
468,탕,조개탕 수제비
469,탕,얼큰누룽지탕
470,탕,맥주조개탕
471,탕,통마늘 만두맛탕
472,탕,장어탕수육
473,탕,삼겹살그라탕
474,탕,도토리묵탕수
475,탕수,장어탕수육
476,탕수,도토리묵탕수
477,전골,장어전골
478,전골,양배추치즈전골
479,전골,냉이 버섯전골
480,전골,총알오징어버섯전골
481,전골,양고기전골
482,전골,해물전골
483,전골,두부배추전골
484,전골,만두전골
485,전골,굴전골
486,전골,구운두부전골
487,전골,김치만두전골
488,전골,잡채유부주머니전골
489,전골,쇠고기완자 배추전골
490,백숙,한방오리백숙
491,볶음탕,고구마 닭볶음탕
492,볶음탕,버섯닭볶음탕
493,냉국,참외냉국
494,냉국,오이토마토냉국
495,냉국,콩나물냉국
496,냉국,된장 가지냉국
497,냉국,노각 냉국
498,냉국,복숭아 냉국
499,냉국,오이미역냉국
500,냉국,가지냉국
501,찌개,늙은 호박 된장찌개
502,찌개,애호박 고추장찌개
503,찌개,어묵 두부찌개
504,찌개,대파된장찌개
505,찌개,소고기 고추장찌개
506,찌개,대패쌈장찌개
507,찌개,생멸치찌개
508,찌개,달래된장찌개
509,찌개,도루묵찌개
510,찌개,짜글이 찌개
511,찌개,강화도식 주꾸미된장찌개
512,찌개,참치김치찌개
