,food_name,view_count,food_cate,rec_season,rec_weather,rec_time
449,코코넛마들렌,3044,9,0,2,0
450,벨기에와플,7445,9,0,2,0
451,달걀말이,14865,7,0,2,0
452,양파즙,21035,12,0,2,0
453,코코넛머핀,1679,9,0,2,0
454,치킨퀘사디아,7477,9,0,2,0
455,닭봉케찹조림,6621,5,0,2,0
456,닭가슴살볶음밥,12268,8,0,2,0
457,치킨도리아,9714,8,0,2,0
458,케이크,2114,9,0,2,0
459,짜장덮밥,8429,8,0,2,0
460,오이무침,26486,7,0,2,0
461,통밀브레드,6588,9,0,2,0
462,돼지고기안심장조림,352628,7,0,2,0
463,오이부추무침,76349,7,0,2,0
464,녹차팥롤케이크,3713,9,0,2,0
465,쑥떡떡볶이,19753,8,0,2,0
466,치킨시저샐러드,10441,10,0,2,0
467,비엔나마늘종볶음,12404,7,0,2,0
468,흑미식빵,2801,9,0,2,0
469,피자빵,27744,9,0,2,0
470,오므라이스,10563,8,0,2,0
471,버터링쿠키,7910,0,0,2,0
472,젤리,2796,4,0,2,0
473,홍차젤리,15203,4,0,2,0
474,포도젤리,5938,4,0,2,0
475,사시미곤약쫄면,5591,6,0,2,0
476,팽이버섯무침,60127,7,0,2,0
477,브레드,3851,9,0,2,0
478,시나몬비스코티,3465,0,0,2,0
479,치킨양파샌드위치,10654,9,0,2,0
480,피자호떡,11652,9,0,2,0
481,열무된장국,14075,1,0,2,0
482,푸실리,13931,13,0,2,0
483,소세지야채볶음,96349,7,0,2,0
484,햄두부덮밥,32244,8,0,2,0
485,브라우니치즈케이크,5656,9,0,2,0
486,무화과닭갈비,4017,5,0,2,0
487,탕수만두,16721,6,0,2,0
488,돈까스,13383,5,0,2,0
489,만두,8884,6,0,2,0
490,레어치즈케이크,14647,9,0,2,0
491,연근전,35011,7,0,2,0
492,두부지짐찌개,52881,14,0,2,0
493,마늘종볶음,172229,7,0,2,0
494,카레두부햄버거,3948,9,0,2,0
495,오이숙장아찌,6307,7,0,2,0
496,감자핫케익,8905,9,0,2,0
497,단호박치즈케이크,4663,9,0,2,0
498,생크림얼그레이스콘,5249,9,0,2,0
