food_name,view_count,food_cate,rec_season,rec_weather,rec_time
단호박찜케익,7950,빵,여름,맑음,저녁
연어간장조림,9669,메인반찬,여름,흐림,저녁
햄크림파스타,5218,면/만두,여름,비,저녁
로쉐,2001,디저트,여름,비,저녁
찐빵,21608,빵,여름,흐림,아침
느타리버섯구이,29118,밑반찬,여름,맑음,아침
딸기가나슈케이크,5886,빵,여름,눈,아침
베이컨,8539,메인반찬,여름,비,아침
쌈밥,28593,밥/죽/떡,여름,맑음,아침
순두부찌개,26757,찌개,여름,흐림,아침
식혜,52837,차/음료/술,여름,비,아침
고구마야채튀김,9694,디저트,여름,비,아침
부대찌개,17812,찌개,여름,비,아침
식빵,9276,빵,여름,비,아침
카스테라,10879,빵,여름,비,아침
닭개장,50732,국/탕,봄,비,아침
초코바,3542,디저트,여름,비,아침
떡볶이,8416,밥/죽/떡,여름,비,아침
퍼지브라우니,29932,빵,여름,비,아침
마늘바게트,5556,과자,여름,비,아침
모카빵,7132,빵,여름,비,아침
삼색상투과자,5939,과자,여름,비,아침
캬라멜크림,3844,양념/소스/잼,여름,비,아침
옥수수식빵,2928,빵,봄,비,아침
망고레어치즈케이크,7122,빵,봄,비,아침
식빵,2383,빵,봄,비,아침
양념꼬막,22544,밑반찬,봄,비,아침
치킨까스카레덮밥,5851,밥/죽/떡,봄,비,저녁
케이크,2197,빵,봄,비,저녁
요거트스콘,7870,빵,봄,비,저녁
야채피클,12176,밑반찬,봄,비,저녁
홍합탕,7128,국/탕,봄,비,저녁
오렌지탕수육,5321,메인반찬,봄,비,저녁
와플,5241,빵,봄,비,저녁
떡갈비,20952,메인반찬,봄,비,아침
달래김무침,7439,밑반찬,봄,비,저녁
키위바나나잼,3937,양념/소스/잼,봄,비,저녁
멸치무침,19479,밑반찬,봄,비,저녁
달걀찜,19517,밑반찬,봄,비,저녁
꽃게된장찌개,57214,찌개,봄,비,저녁
오렌지닭봉구이,4091,메인반찬,봄,비,저녁
햄야채키슈,3456,빵,봄,비,저녁
견과류파운드케익,3549,빵,봄,비,저녁
쿠키,3729,과자,봄,비,저녁
파운드케이크,1988,빵,봄,비,저녁
돼지고기야채볶음,12992,메인반찬,봄,비,저녁
쌀가루치즈케이크,1663,빵,봄,비,저녁
연어계란샐러드,4814,샐러드,봄,비,저녁
해물김치볶음밥,14554,밥/죽/떡,여름,비,저녁
닭가슴살두부강정,9744,디저트,여름,비,저녁
대구탕,9924,국/탕,여름,비,저녁
도토리묵전,18254,밑반찬,여름,비,저녁
두부또띠아피자,18138,빵,여름,비,저녁
차돌박이된장찌개,12299,찌개,여름,비,저녁
캬라멜와플,2002,빵,여름,비,저녁
사탕,10679,디저트,여름,비,저녁
케이크,2940,빵,여름,비,저녁
떡케익,7208,밥/죽/떡,여름,비,저녁
코다리조림,15591,메인반찬,여름,비,저녁
소고기연근전,7398,메인반찬,여름,비,저녁
꼬막볶음,24127,밑반찬,여름,비,저녁
호두초코칩케이크,1408,빵,여름,비,저녁
피낭시에,3157,빵,여름,비,저녁
연두부샐러드,8020,샐러드,여름,비,저녁
잉글리시머핀,9228,빵,여름,비,저녁
단호박머핀,3637,빵,가을,비,저녁
돼지고기카레불고기,5831,메인반찬,가을,비,저녁
컵계란빵,52880,빵,가을,비,저녁
딸기견과류샐러드,9204,샐러드,가을,비,저녁
두부새우선,2951,메인반찬,가을,비,저녁
캬라멜마블파운드케이크,1987,빵,가을,비,저녁
유자제육볶음,3552,메인반찬,가을,비,저녁
제누아즈,60525,빵,가을,비,저녁
딸기생크림케이크,10282,빵,가을,비,저녁
두부명란젓찌개,18983,찌개,가을,비,저녁
닭가슴살샐러드,22939,샐러드,가을,비,저녁
샤벳,4358,디저트,가을,비,저녁
롤케이크,5195,빵,가을,비,아침
등갈비바베큐,5644,메인반찬,가을,비,아침
열무김치,15090,김치/젓갈/장류,가을,비,아침
모과차,6551,차/음료/술,가을,비,아침
오렌지마들렌,2515,빵,가을,비,아침
아마씨식빵,2102,빵,가을,비,아침
두부샌드그라탕,7980,양식,가을,비,아침
브로콜리새우볶음밥,9999,밥/죽/떡,가을,비,아침
딸기버터케이크,7640,빵,가을,비,아침
김치스파게티,18680,면/만두,가을,비,아침
콘브레드,8861,빵,가을,비,아침
닭개장,83401,국/탕,가을,비,아침
초콜렛,7240,디저트,가을,비,아침
귤머핀,4622,빵,가을,비,아침
굴비탕수육,3279,메인반찬,가을,비,아침
풋마늘오징어무침,18929,메인반찬,가을,비,아침
버거,2277,빵,가을,비,아침
치즈케이크,4031,디저트,가을,비,아침
칠리참치롤,7587,밥/죽/떡,가을,비,아침
쉬림프딸기샐러드,5203,샐러드,가을,비,아침
귤쥬스,28971,차/음료/술,가을,비,아침
초코케익,3346,빵,가을,비,아침
김치볶음밥,21082,밥/죽/떡,가을,비,아침
감귤젤리아이스바,6676,디저트,가을,비,아침
순대전골,20396,국/탕,가을,비,아침
식빵,2067,빵,가을,비,저녁
캬라멜비스코티,1891,과자,가을,비,저녁
오므라이스,43084,밥/죽/떡,가을,비,저녁
닭매운탕,12309,국/탕,가을,비,저녁
등갈비바베큐,10409,양식,가을,비,저녁
딸기바나나크레이프,4110,빵,가을,비,저녁
설렁탕깍두기,51390,김치/젓갈/장류,가을,비,저녁
깻잎떡볶이,19283,밥/죽/떡,가을,비,저녁
녹차롤케이크,5911,빵,가을,비,저녁
해물볶음밥,20651,밥/죽/떡,가을,비,저녁
연유,43815,양념/소스/잼,가을,비,저녁
새우탕수,9654,메인반찬,가을,비,저녁
칼국수,16811,면/만두,가을,비,저녁
상하이파스타,10388,면/만두,가을,비,저녁
양상추샌드위치,12733,빵,가을,비,저녁
돼지갈비찜,47124,메인반찬,가을,비,저녁
김치볶음밥,41898,밥/죽/떡,가을,비,저녁
바나나머핀,3487,빵,가을,비,저녁
파운드,2739,빵,가을,비,저녁
전복죽,7849,밥/죽/떡,가을,비,저녁
계란장조림,43076,밑반찬,가을,비,저녁
콩나물곤약비빔면,36982,면/만두,가을,비,저녁
짜장면,45075,면/만두,가을,비,저녁
파전병,7131,면/만두,가을,비,저녁
가토쇼콜라,2824,빵,가을,비,저녁
닭고기조림,22107,메인반찬,가을,비,저녁
녹차팥파운드케이크,3454,빵,가을,비,저녁
훈제연어롤,15554,밥/죽/떡,가을,비,저녁
쑥전,17326,밑반찬,가을,비,저녁
조개구이,4438,디저트,가을,비,저녁
클램차우더스프,10208,스프,가을,비,저녁
칠리새우,14897,메인반찬,가을,비,저녁
노오븐마늘빵,15780,빵,가을,비,저녁
등갈비구이,41841,메인반찬,가을,비,저녁
초코칩쿠키,4471,과자,가을,비,저녁
장미꽃쿠키,5440,과자,가을,비,저녁
몬테크리스토,21820,빵,가을,비,저녁
감자전,14663,밑반찬,가을,비,아침
시금치크림스파게티,5813,면/만두,가을,비,아침
블루베리타르트,3660,과자,가을,비,아침
탕평채,79365,밑반찬,가을,비,아침
사블레린처쿠키,2855,과자,가을,비,아침
달래콩나물밥,5818,밥/죽/떡,가을,비,아침
피넛버터머핀,2439,빵,가을,비,아침
메추리알꼬치,14256,디저트,가을,비,아침
봉골레스파게티,8826,면/만두,가을,비,아침
스트로베리치즈케이크,5463,빵,가을,비,아침
초코브라우니,5809,빵,가을,비,아침
카프레제크로와상샌드위치,11073,빵,가을,비,아침
오믈렛버거,3892,빵,가을,비,아침
오징어부추부침개,17878,디저트,가을,비,아침
커피,10513,차/음료/술,가을,비,아침
쑥국,5979,국/탕,가을,비,아침
스프링롤,70559,메인반찬,가을,비,아침
호박볶음,23632,밑반찬,겨울,비,저녁
해물닭찜,8949,메인반찬,겨울,비,저녁
바베큐립,9200,양식,겨울,비,저녁
마늘쫑닭안심조림,4656,메인반찬,겨울,비,저녁
스콘,3923,빵,겨울,비,저녁
빵푸딩,8898,디저트,겨울,비,저녁
아몬드카스테라,2049,빵,겨울,비,저녁
초코버터케이크,4243,빵,겨울,비,저녁
돼지목살김치찌개,50237,찌개,겨울,비,저녁
베치번즈,4393,빵,겨울,비,저녁
꽈리고추달걀장조림,33580,밑반찬,겨울,비,저녁
쫄면,42326,면/만두,겨울,눈,저녁
어니언스프,62446,스프,겨울,비,저녁
닭날개구이,12522,메인반찬,겨울,비,저녁
김치삼겹살말이,10415,메인반찬,겨울,비,저녁
감자계란그라탕,10344,양식,겨울,비,저녁
닭고기야채조림,4282,메인반찬,겨울,비,저녁
떡볶이,63014,밥/죽/떡,겨울,비,저녁
볶음우동,3652,면/만두,겨울,비,저녁
롤샌드위치,110501,빵,겨울,비,저녁
유부초밥,8393,밥/죽/떡,겨울,비,저녁
모카머핀,2557,빵,겨울,비,저녁
파스타과자,8625,과자,겨울,비,저녁
떡볶이그라탕,8230,양식,겨울,비,저녁
골뱅이무침,30121,메인반찬,겨울,비,아침
토마토마리네이드,15116,양념/소스/잼,겨울,비,저녁
